Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
9020;0,00;0,00;0,00;0,00;48,99;0,00;70,98;80,03;33,86;179,87;860,19;180,25;828,75;851,72;77,88;0,75
9025;0,00;0,00;0,00;0,00;48,99;0,00;71,02;80,00;33,86;179,86;860,10;180,24;828,87;851,68;77,88;0,75
9030;0,00;0,00;0,00;0,00;49,01;0,00;71,03;80,02;33,86;179,85;862,43;180,22;829,63;853,62;77,88;0,75
9035;0,00;0,00;0,00;0,00;49,02;0,00;71,02;80,00;33,86;179,86;864,46;180,21;830,06;855,08;77,88;0,75
9040;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,84;179,86;867,36;180,19;830,48;857,39;77,88;0,75
9045;0,00;0,00;0,00;0,00;49,01;0,00;71,03;80,00;33,83;179,88;867,88;180,18;830,53;857,83;77,88;0,75
9050;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,84;179,87;866,97;180,18;830,39;857,16;77,88;0,75
9055;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,83;179,86;864,32;180,18;830,16;856,19;77,88;0,75
9060;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,97;33,83;179,86;862,71;180,19;829,40;853,55;77,88;0,75
9065;0,00;0,00;0,00;0,00;49,01;0,00;71,00;80,03;33,81;179,86;860,22;180,20;829,11;852,40;77,88;0,75
9070;0,00;0,00;0,00;0,00;49,00;0,00;70,98;80,00;33,84;179,86;860,12;180,21;829,14;851,71;77,88;0,75
9075;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,82;179,87;862,57;180,22;829,46;852,40;77,88;0,75
9080;0,00;0,00;0,00;0,00;49,00;0,00;71,00;80,00;33,83;179,88;864,45;180,24;830,31;855,08;77,88;0,75
9085;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,02;33,83;179,89;867,33;180,24;830,59;856,40;77,88;0,75
9090;0,00;0,00;0,00;0,00;49,01;0,00;71,00;79,98;33,81;179,88;867,86;180,25;830,78;857,81;77,88;0,75
9095;0,00;0,00;0,00;0,00;49,00;0,00;71,01;80,00;33,81;179,86;866,97;180,25;830,75;857,73;77,88;0,75
9100;0,00;0,00;0,00;0,00;49,00;0,00;71,01;79,98;33,82;179,86;865,81;180,25;830,40;856,17;77,88;0,75
9105;0,00;0,00;0,00;0,00;49,01;0,00;70,98;80,02;33,80;179,85;862,70;180,24;830,05;854,91;77,88;0,75
9110;0,00;0,00;0,00;0,00;49,00;0,00;71,02;80,03;33,81;179,86;861,10;180,23;829,35;852,41;77,88;0,75
9115;0,00;0,00;0,00;0,00;49,01;0,00;71,00;79,98;33,80;179,87;860,11;180,23;829,25;851,73;77,88;0,75
9120;0,00;0,00;0,00;0,00;49,00;0,00;71,00;79,98;33,81;179,88;860,90;180,21;829,69;852,37;77,88;0,75
9125;0,00;0,00;0,00;0,00;49,00;0,00;71,03;80,00;33,80;179,91;864,45;180,21;830,13;853,62;77,88;0,75
